SampleID,Trial,Order,MilkSource,PoreSize,Day,MilkType,StorageTemp,pH,ParticleSize,Coagulated,CompMethod,Fat,Protein,Lactose,TS,SnF,FreezePt,pumptype,bottlenum,SCC,GramNeg
MF4-1.2-Whole-D63-10C,3,1,UPS,1.2,56,whole,10,6.56,503,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-10C,4,2,UPS,1.2,63,whole,10,5.68,503,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-3C,3,2,UPS,0.8,56,whole,3,6.81,499.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-3C,4,1,UPS,0.8,63,whole,3,6.65,499.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-3C,3,2,UPS,0.8,56,whole,3,6.79,498.2,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-3C,4,1,UPS,0.8,63,whole,3,6.66,498.2,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-6.5C,3,2,UPS,0.8,56,whole,6.5,6.79,481.8,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-6.5C,4,1,UPS,0.8,63,whole,6.5,5.73,481.8,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D49-3C,2,1,UPS,0.8,49,whole,3,6.67,479.4,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-6.5C,3,1,UPS,1.2,49,whole,6.5,6.74,474.2,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D49-6.5C,2,1,UPS,0.8,49,whole,6.5,6.58,471.3,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D56-10C,4,2,UPS,1.2,56,whole,10,6.16,470.5,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D42-6.5C,2,1,UPS,0.8,42,whole,6.5,6.73,466.7,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D42-10C,3,1,UPS,1.2,42,whole,10,6.7,459.9,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D56-10C,3,1,UPS,1.2,56,whole,10,5.64,452,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D42-3C,2,1,UPS,0.8,42,whole,3,6.75,448.6,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D56-6.5C,2,2,UPS,1.2,56,whole,6.5,6.67,447.9,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-6.5C,3,1,UPS,1.2,49,whole,6.5,6.74,445.5,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-3C,3,1,UPS,1.2,56,whole,3,6.84,432.2,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-3C,4,2,UPS,1.2,63,whole,3,6.65,432.2,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D42-6.5C,3,1,UPS,1.2,42,whole,6.5,6.84,430.9,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D35-10C,3,1,UPS,1.2,35,whole,10,6.82,430.7,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D49-6.5C,3,2,UPS,0.8,49,whole,6.5,6.7,430.6,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D56-10C,2,2,UPS,1.2,56,whole,10,6.17,430.4,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D35-3C,2,2,UPS,1.2,35,whole,3,6.82,428.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-3C,3,1,UPS,1.2,56,whole,3,6.86,426.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-3C,4,2,UPS,1.2,63,whole,3,6.66,426.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D56-10C,4,2,UPS,1.2,56,whole,10,6.19,425.2,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D56-10C,3,1,UPS,1.2,56,whole,10,5.63,421.5,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D56-3C,4,1,UPS,0.8,56,whole,3,6.68,420,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-3C,3,1,UPS,1.2,49,whole,3,6.76,418.8,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D42-6.5C,3,2,UPS,0.8,42,whole,6.5,6.85,417.9,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-3C,3,1,UPS,1.2,49,whole,3,6.74,417.5,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D56-6.5C,3,1,UPS,1.2,56,whole,6.5,6.79,415.5,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D35-10C,3,1,UPS,1.2,35,whole,10,6.82,413.2,,,,,,,,,,,,KEEP
